3/19/2025	H	The committee on ECD recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 7 Ayes: Representative(s) Ilagan, Hussey, Holt, Tam, Templo, Todd, Matsumoto; Ayes with reservations: none; 0 Noes: none; and 0 Excused: none.
3/14/2025	H	Bill scheduled to be heard by ECD on Wednesday, 03-19-25 10:00AM in House conference room 423 VIA VIDEOCONFERENCE.
3/11/2025	H	Passed Second Reading as amended in HD 1 and referred to the committee(s) on ECD with none voting aye with reservations; none voting no (0) and Representative(s) Cochran, Ward excused (2).
3/11/2025	H	Reported from AGR (Stand. Com. Rep. No. 1175) as amended in HD 1, recommending passage on Second Reading and referral to ECD.
3/7/2025	H	The committee on AGR recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 4 Ayes: Representative(s) Kahaloa, Lowen, Perruso, Quinlan; Ayes with reservations: none; Noes: none; and 2 Excused: Representative(s) Kusch, Ward.
3/5/2025	H	Bill scheduled to be heard by AGR on Friday, 03-07-25 10:30AM in House conference room 325 VIA VIDEOCONFERENCE.
3/4/2025	H	Referred to AGR, ECD, FIN, referral sheet 18
2/28/2025	H	Pass First Reading
2/27/2025	H	Received from Senate (Sen. Com. No. 31) in amended form (SD 2).
2/27/2025	S	Report Adopted; Passed Third Reading, as amended (SD 2). Ayes, 25; Aye(s) with reservations: none. Noes, 0 (none). Excused, 0 (none). Transmitted to House.
2/18/2025	S	48 Hrs. Notice 02-27-25.
2/18/2025	S	Reported from WAM (Stand. Com. Rep. No. 687) with recommendation of passage on Third Reading, as amended (SD 2).
2/12/2025	S	The committee(s) on WAM recommend(s) that the measure be PASSED, WITH AMENDMENTS. The votes in WAM were as follows: 13 Aye(s): Senator(s) Dela Cruz, Moriwaki, Aquino, DeCoite, Elefante, Hashimoto, Inouye, Kanuha, Kidani, Kim, Lee, C., Wakai, Fevella; Aye(s) with reservations: none ; 0 No(es): none; and 0 Excused: none.
2/10/2025	S	The committee(s) on WAM will hold a public decision making on 02-12-25 10:01AM; Conference Room 211 & Videoconference.
2/6/2025	S	Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM.
2/6/2025	S	Reported from AEN (Stand. Com. Rep. No. 68) with recommendation of passage on Second Reading, as amended (SD 1) and referral to WAM.
2/3/2025	S	The committee(s) on AEN recommend(s) that the measure be PASSED, WITH AMENDMENTS. The votes in AEN were as follows: 4 Aye(s): Senator(s) Gabbard, Richards, Rhoads, Awa; Aye(s) with reservations: none ; 0 No(es): none; and 1 Excused: Senator(s) DeCoite.
1/31/2025	S	The committee(s) on AEN has scheduled a public hearing on 02-03-25 1:02PM; Conference Room 224 & Videoconference.
1/27/2025	S	Referred to AEN, WAM.
1/21/2025	S	Passed First Reading.
1/17/2025	S	Introduced.
