bill_number,ai_classifier_db_status,deterministic_classifier,match,human_flagged_misclassification,dead,unmatched_count,newest_chamber,newest_date,newest_status_line
HB2218,transmittedGovernor,transmittedGovernor,YES,false_negative,,1,S,5/8/2026,Received notice of passage on Final Reading in House (Hse. Com. No. 888).
HB2229,waiting2,waiting2,YES,,,0,H,2/18/2026,Passed Second Reading as amended in HD 1 and referred to the committee(s) on CPC with none voting aye with reservations; none voting no (0) and none excused (0).
HB2233,crossoverWaiting1,crossoverWaiting1,YES,,,0,S,3/10/2026,Passed First Reading.
HB2246,governorSigns,governorSigns,YES,,,0,S,6/5/2026,"Act 101, 06/05/2026 (Gov. Msg. No. 1201)."
HB2296,transmittedGovernor,transmittedGovernor,YES,,,4,S,4/27/2026,Received notice of House agreement and passage on Final Reading (Hse. Com. No. 824).
HB2300,governorSigns,governorSigns,YES,,,0,S,6/9/2026,"Act 116, 06/08/2026 (Gov. Msg. No. 1216)."
HB2310,governorSigns,governorSigns,YES,,,0,S,5/21/2026,"Act 021, 05/21/2026 (Gov. Msg. No. 1121)."
HB2317,introduced,introduced,YES,,,0,H,2/2/2026,"Referred to HLT, CPC, referral sheet 6"
HB2338,transmittedGovernor,transmittedGovernor,YES,,,1,S,5/8/2026,Received notice of passage on Final Reading in House (Hse. Com. No. 888).
HB2374,waiting2,waiting2,YES,,,0,H,2/12/2026,Passed Second Reading as amended in HD 1 and referred to the committee(s) on WAL with none voting aye with reservations; none voting no (0) and none excused (0).
HB2377,introduced,introduced,YES,false_negative,,0,H,2/2/2026,"Referred to AGR, WAL, FIN, referral sheet 6"
HB2404,waiting2,waiting2,YES,,,0,H,2/20/2026,Passed Second Reading as amended in HD 1 and referred to the committee(s) on JHA with none voting aye with reservations; none voting no (0) and Representative(s) Quinlan excused (1).
HB2424,crossoverScheduled1,crossoverScheduled1,YES,,,0,S,3/19/2026,"The committee(s) on  EIG recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in EIG were as follows: 2 Aye(s): Senator(s) Wakai, Chang; Aye(s) with reservations: none ; 3 No(es): Senator(s) DeCoite, Richards, Fevella; and 0 Excused: none."
HB2425,waiting2,waiting2,YES,,,0,H,2/6/2026,"Passed Second Reading as amended in HD 1 and referred to the committee(s) on WAL with Representative(s) Perruso, Poepoe voting aye with reservations; Representative(s) Amato, Cochran voting no (2) and none excused (0)."
HB2457,waiting2,waiting2,YES,false_negative,,0,H,2/20/2026,"Re-referred to PBS, FIN, referral sheet 14"
HB2458,crossoverWaiting2,crossoverWaiting2,YES,,,0,S,3/30/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to CPN."
HB2459,crossoverWaiting1,crossoverWaiting1,YES,,,0,S,3/10/2026,Passed First Reading.
HB2495,introduced,introduced,YES,,,0,H,2/2/2026,"Referred to AGR, HSG, FIN, referral sheet 6"
HB2496,introduced,introduced,YES,,,0,H,2/2/2026,"Referred to AGR, TRN, FIN, referral sheet 6"
HB2497,waiting2,waiting2,YES,,,0,H,2/20/2026,Passed Second Reading as amended in HD 1 and referred to the committee(s) on JHA with none voting aye with reservations; Representative(s) Pierick voting no (1) and Representative(s) Quinlan excused (1).
HB2509,introduced,introduced,YES,false_negative,,0,H,2/2/2026,"Referred to HSH, FIN, referral sheet 6"
HB2521,introduced,introduced,YES,,,0,H,2/2/2026,"Referred to ECD, FIN, referral sheet 6"
HB2548,crossoverWaiting2,crossoverWaiting2,YES,,,0,S,3/30/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
HB2549,crossoverWaiting2,crossoverWaiting2,YES,,,0,S,3/30/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
HB2550,introduced,introduced,YES,,,0,H,2/2/2026,"Referred to AGR, JHA, FIN, referral sheet 6"
HB2551,conferenceScheduled,conferenceScheduled,YES,,,0,S,5/1/2026,Conference committee meeting to reconvene on 05-01-26 12:45 PM; Conference Room 325.
HB2555,introduced,introduced,YES,,,0,H,2/2/2026,"Referred to ECD, FIN, referral sheet 6"
HB2571,introduced,introduced,YES,,,0,H,2/2/2026,"Referred to AGR, FIN, referral sheet 6"
HB2572,waiting2,waiting2,YES,,,0,H,2/20/2026,Passed Second Reading as amended in HD 1 and referred to the committee(s) on FIN with none voting aye with reservations; Representative(s) Pierick voting no (1) and Representative(s) Quinlan excused (1).
HB2573,waiting2,waiting2,YES,,,0,H,2/6/2026,Passed Second Reading as amended in HD 1 and referred to the committee(s) on HED with none voting aye with reservations; none voting no (0) and none excused (0).
HB2585,crossoverWaiting2,crossoverWaiting2,YES,,,0,S,3/30/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
HB2594,crossoverWaiting2,crossoverWaiting2,YES,,,0,S,3/24/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
HB2595,crossoverWaiting2,crossoverWaiting2,YES,,,0,S,3/24/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
HB2596,scheduled1,scheduled1,YES,,,0,H,2/6/2026,The committee(s) on AGR recommend(s) that the measure be deferred.
HB2599,passedCommittees,passedCommittees,YES,false_negative,,0,H,4/21/2026,"House Conferees Appointed: Hashem, Morikawa Co-Chairs; Souza."
HB2603,waiting2,waiting2,YES,false_negative,,0,H,2/12/2026,Passed Second Reading as amended in HD 1 and referred to the committee(s) on WAL with none voting aye with reservations; none voting no (0) and none excused (0).
HB2619,crossoverWaiting2,crossoverWaiting2,YES,false_negative,,0,S,3/30/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
SB2002,crossoverWaiting2,crossoverWaiting2,YES,,,0,H,3/20/2026,Passed Second Reading as amended in HD 1 and referred to the committee(s) on JHA with none voting aye with reservations; none voting no (0) and Representative(s) Quinlan excused (1).
SB2006,crossoverWaiting1,crossoverWaiting1,YES,,,0,H,3/12/2026,Pass First Reading
SB2007,scheduled1,scheduled1,YES,,,0,S,2/17/2026,The committee on EIG deferred the measure.
SB2015,introduced,introduced,YES,,,0,S,1/22/2026,"Referred to WLA/EIG, WAM."
SB2019,waiting2,waiting2,YES,,,0,S,2/20/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to JDC."
SB2028,introduced,introduced,YES,,,0,S,1/22/2026,"Referred to AEN, WAM."
SB2048,waiting2,waiting2,YES,,,0,S,2/20/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to JDC/WAM."
SB2085,introduced,introduced,YES,,,0,S,1/22/2026,"Referred to HHS, WAM."
SB2094,waiting2,waiting2,YES,,,0,S,2/20/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
SB2095,conferenceScheduled,conferenceScheduled,YES,,,0,H,5/1/2026,"Conference Committee Meeting will reconvene on Friday, 05-01-26 at 12:30PM in Conference Room 325."
SB2096,crossoverWaiting2,crossoverWaiting2,YES,,,0,H,3/19/2026,Passed Second Reading as amended in HD 1 and referred to the committee(s) on WAL with Representative(s) Cochran voting aye with reservations; none voting no (0) and none excused (0).
SB2097,waiting2,waiting2,YES,,,0,S,2/13/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
SB2098,waiting2,waiting2,YES,,,0,S,2/3/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
SB2100,crossoverWaiting2,crossoverWaiting2,YES,,,0,H,3/30/2026,"Passed Second Reading as amended in HD 1 and referred to the committee(s) on FIN with none voting aye with reservations; none voting no (0) and Representative(s) Cochran, Lowen, Perruso, Quinlan excused (4)."
SB2101,governorSigns,governorSigns,YES,,,0,S,6/26/2026,"Act 173, 06/26/2026 (Gov. Msg. No. 1275)."
SB2102,conferenceScheduled,conferenceScheduled,YES,,,0,S,4/29/2026,Conference committee meeting to reconvene on 04-29-26 11:20 AM; Conference Room 325.
SB2103,crossoverWaiting1,crossoverWaiting1,YES,,,0,H,3/12/2026,Pass First Reading
SB2104,introduced,introduced,YES,,,0,S,1/22/2026,"Referred to HHS/EIG, WAM."
SB2109,conferenceScheduled,conferenceScheduled,YES,,,0,S,5/1/2026,Conference committee meeting to reconvene on 05-01-26 3:30 PM; Conference Room 016.
SB2110,conferenceScheduled,conferenceScheduled,YES,,,0,S,5/1/2026,Conference committee meeting to reconvene on 05-01-26 12:45 PM; Conference Room 325.
SB2112,waiting2,waiting2,YES,,,0,S,2/24/2026,"Re-Referred to AEN, CPN/WAM."
SB2113,introduced,introduced,YES,,,0,S,1/22/2026,"Referred to GVO/AEN/PSM/HHS, WAM."
SB2123,scheduled1,scheduled1,YES,,,0,S,2/2/2026,The committee on AEN deferred the measure.
SB2126,waiting2,waiting2,YES,,,0,S,2/3/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
SB2127,waiting2,waiting2,YES,,,0,S,2/13/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to JDC/WAM."
SB2130,waiting2,waiting2,YES,,,0,S,2/20/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
SB2144,introduced,introduced,YES,,,0,S,1/22/2026,"Referred to EDU, WAM."
SB2148,introduced,introduced,YES,,,0,S,1/22/2026,"Referred to HHS/CPN, WAM."
SB2153,governorSigns,governorSigns,YES,,,0,S,6/26/2026,"Act 167, 06/26/2026 (Gov. Msg. No. 1269)."
SB2154,waiting2,waiting2,YES,,,0,S,2/3/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
SB2156,waiting2,waiting2,YES,,,0,S,2/20/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
SB2159,introduced,introduced,YES,,,0,S,1/22/2026,"Referred to EDT/AEN, WAM."
SB2160,waiting2,waiting2,YES,,,0,S,2/3/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM/CPN."
SB2161,crossoverWaiting1,crossoverWaiting1,YES,,,0,H,3/12/2026,Pass First Reading
SB2162,introduced,introduced,YES,,,0,S,1/26/2026,"Referred to WLA/HOU, WAM."
SB2168,introduced,introduced,YES,,,0,S,1/26/2026,"Referred to EDU/AEN, WAM."
SB2169,governorSigns,governorSigns,YES,,,0,S,6/26/2026,"Act 168, 06/26/2026 (Gov. Msg. No. 1270)."
SB2170,waiting2,waiting2,YES,,,0,S,2/11/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
SB2174,crossoverWaiting2,crossoverWaiting2,YES,,,0,H,3/24/2026,"Passed Second Reading as amended in HD 1 and referred to the committee(s) on JHA with Representative(s) Alcos, Cochran, Garcia voting aye with reservations; Representative(s) Pierick voting no (1) and Representative(s) Garrett, Quinlan excused (2)."
SB2211,crossoverWaiting2,crossoverWaiting2,YES,,,0,H,3/24/2026,"Passed Second Reading as amended in HD 1 and referred to the committee(s) on FIN with none voting aye with reservations; none voting no (0) and Representative(s) Garrett, Quinlan excused (2)."
SB2213,introduced,introduced,YES,false_negative,,0,S,1/26/2026,"Referred to EDU/AEN, WAM."
SB2236,introduced,introduced,YES,,,0,S,1/26/2026,"Referred to HHS, CPN."
SB2240,crossoverWaiting1,crossoverWaiting1,YES,,,0,H,3/12/2026,Pass First Reading
SB2258,waiting2,waiting2,YES,,,0,S,2/19/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
SB2309,waiting2,waiting2,YES,,,0,S,2/11/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
SB2317,waiting2,waiting2,YES,,,0,S,2/13/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
SB2318,waiting2,waiting2,YES,,,0,S,2/11/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
SB2319,conferenceScheduled,conferenceScheduled,YES,,,0,S,4/23/2026,Conference committee meeting scheduled for 04-24-26 11:00AM; Conference Room 325.
SB2320,conferenceScheduled,conferenceScheduled,YES,,,0,H,5/1/2026,"Conference Committee Meeting will reconvene on Friday, 05-01-26 at 5:20PM in Conference Room 229."
SB2321,conferenceScheduled,conferenceScheduled,YES,,,0,S,5/1/2026,Conference committee meeting to reconvene on 05-01-26 12:45 PM; Conference Room 325.
SB2323,waiting2,waiting2,YES,,,0,S,2/11/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
SB2332,scheduled1,scheduled1,YES,,,0,S,2/11/2026,"The committee(s) on  AEN recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in AEN were as follows: 2 Aye(s): Senator(s) Gabbard, Rhoads; Aye(s) with reservations: none ; 3 No(es): Senator(s) Richards, DeCoite, Awa; and 0 Excused: none."
SB2333,waiting2,waiting2,YES,,,0,S,2/20/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to CPN/WAM."
SB2334,scheduled1,scheduled1,YES,,,0,S,2/11/2026,The committee on AEN deferred the measure.
SB2335,introduced,introduced,YES,,,0,S,1/26/2026,"Referred to EDT/AEN, WAM."
SB2349,waiting2,waiting2,YES,,,0,S,2/20/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
SB2350,crossoverScheduled1,crossoverScheduled1,YES,,,0,H,3/18/2026,The committee(s) on AGR recommend(s) that the measure be deferred.
SB2360,transmittedGovernor,transmittedGovernor,YES,,,0,S,5/8/2026,Enrolled to Governor.
SB2371,waiting2,waiting2,YES,,,0,S,2/20/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to CPN/JDC."
SB2374,waiting2,waiting2,YES,,,0,S,2/20/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
SB2404,introduced,introduced,YES,,,0,S,1/28/2026,"Referred to AEN, WAM."
SB2405,conferenceScheduled,conferenceScheduled,YES,,,0,S,5/1/2026,Conference committee meeting to reconvene on 05-01-26 12:45 PM; Conference Room 325.
SB2406,introduced,introduced,YES,,,0,S,1/28/2026,"Referred to AEN, CPN."
SB2407,conferenceScheduled,conferenceScheduled,YES,,,0,S,5/1/2026,Conference committee meeting to reconvene on 05-01-26 11:45 AM; Conference Room 411.
SB2417,introduced,introduced,YES,,,0,S,1/28/2026,"Referred to PSM/HHS, JDC/WAM."
SB2427,introduced,introduced,YES,,,0,S,1/28/2026,"Referred to HHS, WAM."
SB2439,introduced,introduced,YES,,,0,S,1/28/2026,"Referred to AEN, WAM/CPN."
SB2440,introduced,introduced,YES,,,0,S,1/28/2026,"Referred to WLA/AEN, WAM."
SB2458,introduced,introduced,YES,,,0,S,1/28/2026,"Referred to HHS/CPN, WAM."
SB2459,introduced,introduced,YES,,,0,S,1/28/2026,"Referred to AEN, CPN."
SB2488,waiting2,waiting2,YES,,,0,S,2/20/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
SB2489,crossoverWaiting2,crossoverWaiting2,YES,,,0,H,3/24/2026,"Passed Second Reading as amended in HD 1 and referred to the committee(s) on JHA with Representative(s) Alcos, Gedeon, Matsumoto, Reyes Oda voting aye with reservations; Representative(s) Garcia voting no (1) and Representative(s) Garrett, Quinlan excused (2)."
SB2576,scheduled1,scheduled1,YES,,,0,S,2/18/2026,The committee on AEN deferred the measure.
SB2595,conferenceScheduled,conferenceScheduled,YES,,,0,S,5/1/2026,Conference committee meeting to reconvene on 05-01-26 11:45 AM; Conference Room 411.
SB2597,introduced,introduced,YES,,,0,S,1/28/2026,"Referred to AEN, WAM."
SB2615,passedCommittees,passedCommittees,YES,,,1,S,4/16/2026,Received from House (Hse. Com. No. 683).
SB2677,introduced,introduced,YES,,,0,S,1/28/2026,"Referred to EDU, WAM."
SB2685,introduced,introduced,YES,,,0,S,1/28/2026,"Referred to WLA, JDC."
SB2689,introduced,introduced,YES,,,0,S,1/28/2026,"Referred to EIG/AEN, WAM."
SB2703,introduced,introduced,YES,,,0,S,1/28/2026,"Referred to AEN, WAM."
SB2704,waiting2,waiting2,YES,,,0,S,2/20/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
SB2705,introduced,introduced,YES,,,0,S,1/28/2026,"Referred to EDU, WAM."
SB2706,conferenceScheduled,conferenceScheduled,YES,,,0,S,5/1/2026,Conference committee meeting to reconvene on 05-01-26 12:45 PM; Conference Room 325.
SB2707,introduced,introduced,YES,,,0,S,1/28/2026,"Referred to EDU/AEN, WAM."
SB2708,introduced,introduced,YES,,,0,S,1/28/2026,"Referred to EDU, WAM."
SB2709,waiting2,waiting2,YES,,,0,S,2/20/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
SB2713,crossoverWaiting1,crossoverWaiting1,YES,,,0,H,3/12/2026,Pass First Reading
SB2716,scheduled1,scheduled1,YES,,,0,S,2/19/2026,The committee on EDT deferred the measure.
SB2717,introduced,introduced,YES,,,0,S,1/28/2026,"Referred to AEN, JDC/WAM."
SB2718,waiting2,waiting2,YES,,,0,S,2/20/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
SB2740,introduced,introduced,YES,,,0,S,1/30/2026,"Referred to AEN/EIG/WLA, WAM/JDC."
SB2741,waiting2,waiting2,YES,,,0,S,2/20/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
SB2742,introduced,introduced,YES,,,0,S,1/30/2026,"Referred to AEN, JDC."
SB2743,introduced,introduced,YES,,,0,S,1/30/2026,"Referred to AEN/EIG, JDC."
SB2745,introduced,introduced,YES,,,0,S,1/30/2026,"Referred to WLA/AEN, WAM."
SB2747,introduced,introduced,YES,,,0,S,1/30/2026,"Referred to AEN/WLA, WAM."
SB2760,waiting2,waiting2,YES,,,0,S,2/20/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM/JDC."
SB2779,introduced,introduced,YES,,,0,S,1/30/2026,"Referred to AEN/WLA, WAM/CPN."
SB2790,waiting2,waiting2,YES,,,0,S,2/17/2026,Report adopted; Passed Second Reading and referred to WAM.
SB2792,introduced,introduced,YES,,,0,S,1/30/2026,"Referred to HHS, WAM."
SB2798,passedCommittees,passedCommittees,YES,,,0,H,4/21/2026,Received notice of Senate conferees (Sen. Com. No. 718).
SB2800,conferenceScheduled,conferenceScheduled,YES,,,0,S,5/1/2026,Conference committee meeting to reconvene on 05-01-26 12:45 PM; Conference Room 325.
SB2802,governorSigns,governorSigns,YES,,,0,S,6/26/2026,"Act 154, 06/25/2026 (Gov. Msg. No. 1255)."
SB2805,passedCommittees,passedCommittees,YES,,,0,H,4/20/2026,Received notice of Senate conferees (Sen. Com. No. 714).
SB2885,crossoverScheduled1,crossoverScheduled1,YES,,,0,H,3/18/2026,The committee(s) on AGR recommend(s) that the measure be deferred.
SB2887,waiting2,waiting2,YES,,,0,S,2/20/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
SB2890,introduced,introduced,YES,,,0,S,1/30/2026,Referred to WAM.
SB2891,introduced,introduced,YES,,,0,S,1/30/2026,"Referred to HHS, WAM."
SB2922,crossoverWaiting1,crossoverWaiting1,YES,,,0,H,3/12/2026,Pass First Reading
SB2925,crossoverWaiting3,crossoverWaiting3,YES,,,0,H,3/30/2026,"Report adopted; referred to the committee(s) on FIN as amended in HD 2 with none voting aye with reservations; none voting no (0) and Representative(s) Cochran, Lowen, Perruso, Quinlan excused (4)."
SB2935,waiting2,waiting2,YES,,,0,S,2/20/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
SB2942,introduced,introduced,YES,,,0,S,2/8/2026,The committee(s) on AEN deleted the measure from the public hearing scheduled on 02-09-26 4:00PM; CR 224 & Videoconference.
SB2972,conferenceScheduled,conferenceScheduled,YES,,,0,S,4/28/2026,Conference committee meeting to reconvene on 04-29-26 9:00AM; Conference Room 229.
